"URXECP.Code.or.Value","URXECP.Value.Description","URXECP.Count","URXECP.Cumulative","URXECP.Skip.to.Item"
"0.42 to 7782.6","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
