"WTDR4YR.Code.or.Value","WTDR4YR.Value.Description","WTDR4YR.Count","WTDR4YR.Cumulative","WTDR4YR.Skip.to.Item"
"298.67300602 to 173979.37695","Range of Values",9883,9883,NA
".","Missing",594,10477,NA
