"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",15,15,NA
"2","Years",34,49,NA
"7","Refused",0,49,NA
"9","Don't know",0,49,NA
".","Missing",3435,3484,NA
