"WHQ280A.Code.or.Value","WHQ280A.Value.Description","WHQ280A.Count","WHQ280A.Cumulative","WHQ280A.Skip.to.Item"
"1","personal trainer",92,92,NA
"7","Refused",0,92,NA
"9","Don't know",0,92,NA
".","Missing",6047,6139,NA
