"URXMU2.Code.or.Value","URXMU2.Value.Description","URXMU2.Count","URXMU2.Cumulative","URXMU2.Skip.to.Item"
"0.071 to 44.9","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
