"FFQ0133A.Code.or.Value","FFQ0133A.Value.Description","FFQ0133A.Count","FFQ0133A.Cumulative","FFQ0133A.Skip.to.Item"
1,"Almost never or never",3173,3173,NA
2,"About 1/4 of the time",442,3615,NA
3,"About 1/2 of the time",397,4012,NA
4,"About 3/4 of the time",193,4205,NA
5,"Almost always or always",421,4626,NA
88,"Blank",1843,6469,NA
99,"Error",3,6472,NA
