"BIXS009K.Code.or.Value","BIXS009K.Value.Description","BIXS009K.Count","BIXS009K.Cumulative","BIXS009K.Skip.to.Item"
"372.24 to 981.43","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
