"WTSPH01.Code.or.Value","WTSPH01.Value.Description","WTSPH01.Count","WTSPH01.Cumulative","WTSPH01.Skip.to.Item"
"0.0000000 to 765268.1804500","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
