"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.61 to 1230","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
