"URDUBELC.Code.or.Value","URDUBELC.Value.Description","URDUBELC.Count","URDUBELC.Cumulative","URDUBELC.Skip.to.Item"
"0","At or above the detection limit",10,10,NA
"1","Below lower detection limit",2617,2627,NA
".","Missing",93,2720,NA
