"DS2IFIBE.Code.or.Value","DS2IFIBE.Value.Description","DS2IFIBE.Count","DS2IFIBE.Cumulative","DS2IFIBE.Skip.to.Item"
"0.06 to 27","Range of Values",102,102,NA
".","Missing",5674,5776,NA
