"MCQ260FI.Code.or.Value","MCQ260FI.Value.Description","MCQ260FI.Count","MCQ260FI.Cumulative","MCQ260FI.Skip.to.Item"
"9","Other",170,170,"MCQ250G"
".","Missing",9475,9645,""
