"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",3034,3034,NA
"1","Below lower detection limit",3,3037,NA
".","Missing",242,3279,NA
