"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.008 to 0.251","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
