"LBCBR9.Code.or.Value","LBCBR9.Value.Description","LBCBR9.Count","LBCBR9.Cumulative","LBCBR9.Skip.to.Item"
"1.8 to 23.1","Range of Values",264,264,NA
".","Missing",0,264,NA
