"OPDURDET.Code.or.Value","OPDURDET.Value.Description","OPDURDET.Count","OPDURDET.Cumulative","OPDURDET.Skip.to.Item"
"0","No",2468,2468,NA
"1","Questionable",3,2471,NA
"2","Yes",8,2479,NA
"3","Yes, in center",0,2479,NA
".","Missing",455,2934,NA
