"AUDTYR71.Code.or.Value","AUDTYR71.Value.Description","AUDTYR71.Count","AUDTYR71.Cumulative","AUDTYR71.Skip.to.Item"
"0 to 0.84","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
