"DXXRLLI.Code.or.Value","DXXRLLI.Value.Description","DXXRLLI.Count","DXXRLLI.Cumulative","DXXRLLI.Skip.to.Item"
"1738.4 to 18825.3","Range of Values",5295,5295,NA
".","Missing",738,6033,NA
