"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0 to 91.727","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
