"DSQICOPP.Code.or.Value","DSQICOPP.Value.Description","DSQICOPP.Count","DSQICOPP.Cumulative","DSQICOPP.Skip.to.Item"
"0.0003 to 60","Range of Values",1735,1735,NA
".","Missing",6534,8269,NA
