"AUDTYL32.Code.or.Value","AUDTYL32.Value.Description","AUDTYL32.Count","AUDTYL32.Cumulative","AUDTYL32.Skip.to.Item"
"0 to 2.09","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
