"WBXP010.Code.or.Value","WBXP010.Value.Description","WBXP010.Count","WBXP010.Cumulative","WBXP010.Skip.to.Item"
"-170.5722 to 153.7311","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
