"DEQ034C.Code.or.Value","DEQ034C.Value.Description","DEQ034C.Count","DEQ034C.Cumulative","DEQ034C.Skip.to.Item"
"1","Always",211,211,NA
"2","Most of the time",303,514,NA
"3","Sometimes",916,1430,NA
"4","Rarely, or",815,2245,NA
"5","Never?",1159,3404,NA
"7","Refused",0,3404,NA
"9","Don't know",1,3405,NA
".","Missing",14,3419,NA
