"SSBETA.Code.or.Value","SSBETA.Value.Description","SSBETA.Count","SSBETA.Cumulative","SSBETA.Skip.to.Item"
"0.2 to 1.9","Range of Values",210,210,NA
".","Missing",1879,2089,NA
