"WTSPP48.Code.or.Value","WTSPP48.Value.Description","WTSPP48.Count","WTSPP48.Cumulative","WTSPP48.Skip.to.Item"
"0 to 834741.90146","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
