"DXXPT24X.Code.or.Value","DXXPT24X.Value.Description","DXXPT24X.Count","DXXPT24X.Cumulative","DXXPT24X.Skip.to.Item"
"115.5 to 687.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
