"HIQ210.Code.or.Value","HIQ210.Value.Description","HIQ210.Count","HIQ210.Cumulative","HIQ210.Skip.to.Item"
"1","Yes",561,561,NA
"2","No",7591,8152,NA
"7","Refused",1,8153,NA
"9","Don't know",18,8171,NA
".","Missing",1083,9254,NA
