"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.35 to 149.62","Range of Values",2388,2388,NA
".","Missing",74,2462,NA
