"OPDDNVO.Code.or.Value","OPDDNVO.Value.Description","OPDDNVO.Count","OPDDNVO.Cumulative","OPDDNVO.Skip.to.Item"
"0","None",2427,2427,NA
"1","Questionable",2,2429,NA
"2","< 10A",1,2430,NA
"3",">= 10A",0,2430,NA
".","Missing",504,2934,NA
