"FSQ450.Code.or.Value","FSQ450.Value.Description","FSQ450.Count","FSQ450.Cumulative","FSQ450.Skip.to.Item"
"1","Yes",39,39,""
"2","No",235,274,"FSQ470"
"7","Refused",0,274,"FSQ470"
"9","Don't know",0,274,"FSQ470"
".","Missing",9848,10122,""
