"BMDAVSAD.Code.or.Value","BMDAVSAD.Value.Description","BMDAVSAD.Count","BMDAVSAD.Cumulative","BMDAVSAD.Skip.to.Item"
"10 to 40.6","Range of Values",6795,6795,NA
".","Missing",2543,9338,NA
