"URD3TBLC.Code.or.Value","URD3TBLC.Value.Description","URD3TBLC.Count","URD3TBLC.Cumulative","URD3TBLC.Skip.to.Item"
"0","At or above the detection limit",695,695,NA
"1","Below lower detection limit",1909,2604,NA
".","Missing",114,2718,NA
