"DSQILZ.Code.or.Value","DSQILZ.Value.Description","DSQILZ.Count","DSQILZ.Cumulative","DSQILZ.Skip.to.Item"
"5 to 95000","Range of Values",573,573,NA
".","Missing",7696,8269,NA
