"DXXPT58Y.Code.or.Value","DXXPT58Y.Value.Description","DXXPT58Y.Count","DXXPT58Y.Cumulative","DXXPT58Y.Skip.to.Item"
"89.1 to 321.7","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
