"URXAAM.Code.or.Value","URXAAM.Value.Description","URXAAM.Count","URXAAM.Cumulative","URXAAM.Skip.to.Item"
"1.56 to 2750","Range of Values",2511,2511,NA
".","Missing",244,2755,NA
