"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 4.264","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
