"URDHPMLC.Code.or.Value","URDHPMLC.Value.Description","URDHPMLC.Count","URDHPMLC.Cumulative","URDHPMLC.Skip.to.Item"
"0","At or above the detection limit",2599,2599,NA
"1","Below lower detection limit",7,2606,NA
".","Missing",149,2755,NA
