"LBDBB1LC.Code.or.Value","LBDBB1LC.Value.Description","LBDBB1LC.Count","LBDBB1LC.Cumulative","LBDBB1LC.Skip.to.Item"
"0","At or above the detection limit",236,236,NA
"1","Below lower detection limit",15,251,NA
".","Missing",0,251,NA
