"MCQ260CD.Code.or.Value","MCQ260CD.Value.Description","MCQ260CD.Count","MCQ260CD.Cumulative","MCQ260CD.Skip.to.Item"
"4","Mother's father",35,35,"MCQ250E"
".","Missing",10435,10470,""
