"CBQ670.Code.or.Value","CBQ670.Value.Description","CBQ670.Count","CBQ670.Cumulative","CBQ670.Skip.to.Item"
"1","Very important",3735,3735,NA
"2","Somewhat important",913,4648,NA
"3","Not too important",111,4759,NA
"4","Not at all important",20,4779,NA
"7","Refused",0,4779,NA
"9","Don't know",8,4787,NA
".","Missing",1235,6022,NA
