"WBXA012.Code.or.Value","WBXA012.Value.Description","WBXA012.Count","WBXA012.Cumulative","WBXA012.Skip.to.Item"
"-3.6681 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
