"LBDRFOSI.Code.or.Value","LBDRFOSI.Value.Description","LBDRFOSI.Count","LBDRFOSI.Cumulative","LBDRFOSI.Skip.to.Item"
"150 to 5490","Range of Values",7867,7867,NA
".","Missing",1089,8956,NA
