"LBXF03.Code.or.Value","LBXF03.Value.Description","LBXF03.Count","LBXF03.Cumulative","LBXF03.Skip.to.Item"
"5.09 to 638","Range of Values",1230,1230,NA
".","Missing",1317,2547,NA
