"URXMX4.Code.or.Value","URXMX4.Value.Description","URXMX4.Count","URXMX4.Cumulative","URXMX4.Skip.to.Item"
"0.007 to 84.9","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
