"FSD081.Code.or.Value","FSD081.Value.Description","FSD081.Count","FSD081.Cumulative","FSD081.Skip.to.Item"
"1","Yes",491,491,NA
"2","No",3412,3903,NA
"7","Refused",0,3903,NA
"9","Don't know",9,3912,NA
".","Missing",6059,9971,NA
