"DR1TIRON.Code.or.Value","DR1TIRON.Value.Description","DR1TIRON.Count","DR1TIRON.Cumulative","DR1TIRON.Skip.to.Item"
"0 to 103.17","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
