"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1388,1388,NA
"1","Below lower detection limit",1784,3172,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3172,NA
".","Missing",317,3489,NA
