"AUXLR155.Code.or.Value","AUXLR155.Value.Description","AUXLR155.Count","AUXLR155.Cumulative","AUXLR155.Skip.to.Item"
"-13 to 46","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
