"TYXA159.Code.or.Value","TYXA159.Value.Description","TYXA159.Count","TYXA159.Cumulative","TYXA159.Skip.to.Item"
"0.09 to 6.395","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
