"CBQ698cd.Code.or.Value","CBQ698cd.Value.Description","CBQ698cd.Count","CBQ698cd.Cumulative","CBQ698cd.Skip.to.Item"
"91","Others",2,2,NA
".","Missing",2043,2045,NA
