"RFXT032.Code.or.Value","RFXT032.Value.Description","RFXT032.Count","RFXT032.Cumulative","RFXT032.Skip.to.Item"
"265 to 274","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
