"LBD167LC.Code.or.Value","LBD167LC.Value.Description","LBD167LC.Count","LBD167LC.Cumulative","LBD167LC.Skip.to.Item"
"0","At or above the detection limit",238,238,NA
"1","Below lower detection limit",54,292,NA
".","Missing",9,301,NA
