"URDMB1LC.Code.or.Value","URDMB1LC.Value.Description","URDMB1LC.Count","URDMB1LC.Cumulative","URDMB1LC.Skip.to.Item"
"0","At or above the detection limit",14,14,NA
"1","Below lower detection limit",2573,2587,NA
".","Missing",168,2755,NA
