"URXMU2.Code.or.Value","URXMU2.Value.Description","URXMU2.Count","URXMU2.Cumulative","URXMU2.Skip.to.Item"
"0.07 to 38.4","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
