"SXQ294.Code.or.Value","SXQ294.Value.Description","SXQ294.Count","SXQ294.Cumulative","SXQ294.Skip.to.Item"
"1","Heterosexual or straight (attracted to men)",1471,1471,NA
"2","Homosexual or lesbian (attracted to women)",13,1484,NA
"3","Bisexual (attracted to men and women)",42,1526,NA
"4","Something else",6,1532,NA
"5","Not sure",21,1553,NA
"7","Refused",4,1557,NA
"9","Don't know",9,1566,NA
".","Missing",1719,3285,NA
