"URDMB3LC.Code.or.Value","URDMB3LC.Value.Description","URDMB3LC.Count","URDMB3LC.Cumulative","URDMB3LC.Skip.to.Item"
"0","At or above the detection limit",2843,2843,NA
"1","Below lower detection limit",172,3015,NA
".","Missing",264,3279,NA
