"DR2IFIBE.Code.or.Value","DR2IFIBE.Value.Description","DR2IFIBE.Count","DR2IFIBE.Cumulative","DR2IFIBE.Skip.to.Item"
"0 to 51.1","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
