"ARQ022G.Code.or.Value","ARQ022G.Value.Description","ARQ022G.Count","ARQ022G.Cumulative","ARQ022G.Skip.to.Item"
"2 to 68","Range of Values",79,79,NA
"777","Refused",0,79,NA
"999","Don't know",0,79,NA
".","Missing",5027,5106,NA
