"DS1TVB6.Code.or.Value","DS1TVB6.Value.Description","DS1TVB6.Count","DS1TVB6.Cumulative","DS1TVB6.Skip.to.Item"
"0.02 to 1042.73","Range of Values",1560,1560,NA
".","Missing",7778,9338,NA
