"LBXPFDE.Code.or.Value","LBXPFDE.Value.Description","LBXPFDE.Count","LBXPFDE.Cumulative","LBXPFDE.Skip.to.Item"
"0.07 to 20.7","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
