"DSXCF1LD.Code.or.Value","DSXCF1LD.Value.Description","DSXCF1LD.Count","DSXCF1LD.Cumulative","DSXCF1LD.Skip.to.Item"
"0.6 to 0.6","Range of Values",1384,1384,NA
".","Missing",8056,9440,NA
