"URDP17LC.Code.or.Value","URDP17LC.Value.Description","URDP17LC.Count","URDP17LC.Cumulative","URDP17LC.Skip.to.Item"
"0","At or above the detection limit",2489,2489,NA
"1","Below lower detection limit",2,2491,NA
".","Missing",103,2594,NA
