"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",2647,2647,NA
"1","Below lower detection limit",3,2650,NA
".","Missing",105,2755,NA
