"OHQ612.Code.or.Value","OHQ612.Value.Description","OHQ612.Count","OHQ612.Cumulative","OHQ612.Skip.to.Item"
"1","Yes",308,308,NA
"2","No",3165,3473,NA
"7","Refused",0,3473,NA
"9","Don't know",8,3481,NA
".","Missing",6094,9575,NA
